brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Bamboo Airways,1450375,21:10,24-05-2024,24-05-2024,22:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
VietJet Air,1560046,11:30,24-05-2024,24-05-2024,12:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
VietJet Air,1560046,11:40,24-05-2024,24-05-2024,13:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Bamboo Airways,1616425,14:00,24-05-2024,24-05-2024,15:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1640240,21:15,24-05-2024,24-05-2024,22:45,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1772190,21:05,24-05-2024,24-05-2024,22:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1789650,05:40,24-05-2024,24-05-2024,07:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1789650,20:35,24-05-2024,24-05-2024,22:05,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1921875,06:00,24-05-2024,24-05-2024,07:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,1921875,06:25,24-05-2024,24-05-2024,07:55,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2232450,15:20,24-05-2024,24-05-2024,16:45,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2232450,16:00,24-05-2024,24-05-2024,17:35,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2375950,07:10,24-05-2024,24-05-2024,08:20,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2375950,13:05,24-05-2024,24-05-2024,14:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2375950,20:10,24-05-2024,24-05-2024,21:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2561475,11:10,24-05-2024,24-05-2024,12:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2561475,08:00,24-05-2024,24-05-2024,09:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2561475,10:30,24-05-2024,24-05-2024,12:00,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2561475,11:45,24-05-2024,24-05-2024,13:15,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
Vietnam Airlines,2561475,08:55,24-05-2024,24-05-2024,10:30,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng"
